Source,Time Since Burst (days),Flux (mJy),Error (mJy),Type,Redshift,Year,In the paper
GRB 140607A,754.6107661,0.471,0,Non-Detection,Unknown,2014,FALSE
GRB 140607A,759.6579976,0.204,0,Non-Detection,Unknown,2014,FALSE
GRB 140607A,725.8560925,0.123,0,Non-Detection,Unknown,2014,FALSE
GRB 140607A,706.8865167,0.09,0,Non-Detection,Unknown,2014,FALSE
GRB 140607A,710.0134762,0.174,0,Non-Detection,Unknown,2014,FALSE
GRB 140607A,746.7426677,0.204,0,Non-Detection,Unknown,2014,FALSE
GRB 141109B,601.6858964,0.135,0,Non-Detection,2.993,2014,FALSE
GRB 141109B,599.6650562,0.237,0,Non-Detection,2.993,2014,FALSE
GRB 141109B,560.728956,0.297,0,Non-Detection,2.993,2014,FALSE
GRB 160131A,26.85710525,0.18,0,Non-Detection,0.972,2016,FALSE
GRB 160227A,13.3628695,0.102,0,Non-Detection,2.38,2016,FALSE
GRB 160227A,8.28302175,0.114,0,Non-Detection,2.38,2016,FALSE
GRB 160227A,4.4243255,0.177,0,Non-Detection,2.38,2016,FALSE
GRB 160227A,68.33112942,0.105,0,Non-Detection,2.38,2016,FALSE
GRB 160227A,115.1356132,0.099,0,Non-Detection,2.38,2016,FALSE
GRB 160227A,118.1035247,0.183,0,Non-Detection,2.38,2016,FALSE
GRB 160313A,7.009094,0.174,0,Non-Detection,Unknown,2016,FALSE
GRB 160313A,9.92056975,0.111,0,Non-Detection,Unknown,2016,FALSE
GRB 160313A,0.866883333,0.066,0,Non-Detection,Unknown,2016,FALSE
GRB 160313A,2.8922485,0.093,0,Non-Detection,Unknown,2016,FALSE
GRB 160313A,0.0435315,0.117,0,Non-Detection,Unknown,2016,FALSE
GRB 160313A,85.6857005,0.201,0,Non-Detection,Unknown,2016,FALSE
GRB 160314A,3.252701833,0.303,0,Non-Detection,0.726,2016,FALSE
GRB 160314A,0.173025917,0.321,0,Non-Detection,0.726,2016,FALSE
GRB 160314A,1.33365675,0.12,0,Non-Detection,0.726,2016,FALSE
GRB 160314A,7.345078,0.132,0,Non-Detection,0.726,2016,FALSE
GRB 160314A,92.20039925,0.207,0,Non-Detection,0.726,2016,FALSE
GRB 160314A,10.431659,0.372,0,Non-Detection,0.726,2016,FALSE
GRB 160321A,3.081010833,0.375,0,Non-Detection,Unknown,2016,FALSE
GRB 160321A,0.042891,0.246,0,Non-Detection,Unknown,2016,FALSE
GRB 160321A,1.195897417,0.327,0,Non-Detection,Unknown,2016,FALSE
GRB 160321A,8.000870833,0.3,0,Non-Detection,Unknown,2016,FALSE
GRB 160321A,10.01965442,0.42,0,Non-Detection,Unknown,2016,FALSE
GRB 160321A,73.79746167,0.363,0,Non-Detection,Unknown,2016,FALSE
GRB 160327A,65.44794883,0.115876401,0,Non-Detection,4.99,2016,FALSE
GRB 160327A,3.557330833,0.114,0,Non-Detection,4.99,2016,FALSE
GRB 160327A,10.44749692,0.096,0,Non-Detection,4.99,2016,FALSE
GRB 160327A,8.403783417,0.096,0,Non-Detection,4.99,2016,FALSE
GRB 160327A,0.368147917,0.111,0,Non-Detection,4.99,2016,FALSE
GRB 160327A,1.55655475,0.081,0,Non-Detection,4.99,2016,FALSE
GRB 160408A,7.479613333,0.291,0,Non-Detection,Unknown,2016,FALSE
GRB 160408A,11.52202775,0.105,0,Non-Detection,Unknown,2016,FALSE
GRB 160408A,55.44273033,0.12,0,Non-Detection,Unknown,2016,FALSE
GRB 160408A,1.50777025,0.09,0,Non-Detection,Unknown,2016,FALSE
GRB 160408A,0.3450665,0.156,0,Non-Detection,Unknown,2016,FALSE
GRB 160408A,55.37959367,0.168,0,Non-Detection,Unknown,2016,FALSE
GRB 160410A,6.645261583,0.126,0,Non-Detection,1.717,2016,FALSE
GRB 160410A,4.674960667,0.21,0,Non-Detection,1.717,2016,FALSE
GRB 160410A,9.758268,0.183,0,Non-Detection,1.717,2016,FALSE
GRB 160410A,50.49519333,0.147,0,Non-Detection,1.717,2016,FALSE
GRB 160410A,12.6032535,0.192,0,Non-Detection,1.717,2016,FALSE
GRB 160417A,7.502408,0.183,0,Non-Detection,Unknown,2016,FALSE
GRB 160417A,3.486048,0.225,0,Non-Detection,Unknown,2016,FALSE
GRB 160417A,11.59605092,0.204,0,Non-Detection,Unknown,2016,FALSE
GRB 160417A,51.52684717,0.264,0,Non-Detection,Unknown,2016,FALSE
GRB 160417A,0.398319417,0.819,0,Non-Detection,Unknown,2016,FALSE
GRB 160417A,1.628201333,0.201,0,Non-Detection,Unknown,2016,FALSE
GRB 160504A,7.091407417,0.156,0,Non-Detection,Unknown,2016,FALSE
GRB 160504A,10.08806658,0.072,0,Non-Detection,Unknown,2016,FALSE
GRB 160504A,3.008837417,0.192,0,Non-Detection,Unknown,2016,FALSE
GRB 160504A,1.07627425,0.072,0,Non-Detection,Unknown,2016,FALSE
GRB 160504A,0.042734917,1.287,0,Non-Detection,Unknown,2016,FALSE
GRB 160504A,92.7928675,0.132,0,Non-Detection,Unknown,2016,FALSE
GRB 160509A,87.60557692,0.102,0,Non-Detection,1.17,2016,FALSE
GRB 160509A,16.8371995,0.15,0,Non-Detection,1.17,2016,FALSE
GRB 160509A,13.87413067,0.141,0,Non-Detection,1.17,2016,FALSE
GRB 160519A,19.57186083,0.153,0,Non-Detection,Unknown,2016,FALSE
GRB 160519A,0.346122917,0.135,0,Non-Detection,Unknown,2016,FALSE
GRB 160519A,7.4896605,0.09,0,Non-Detection,Unknown,2016,FALSE
GRB 160519A,3.605868917,0.075,0,Non-Detection,Unknown,2016,FALSE
GRB 160519A,1.488394917,0.06,0,Non-Detection,Unknown,2016,FALSE
GRB 160519A,28.40585325,0.102,0,Non-Detection,Unknown,2016,FALSE
GRB 160519A,22.42709167,0.135,0,Non-Detection,Unknown,2016,FALSE
GRB 160519A,10.48701233,0.075,0,Non-Detection,Unknown,2016,FALSE
GRB 160519A,77.32260558,0.165,0,Non-Detection,Unknown,2016,FALSE
GRB 160521A,13.45497225,0.108,0,Non-Detection,Unknown,2016,FALSE
