Source,Time Since Burst (days),Flux (mJy),Error (mJy),Type,Redshift,Year,is_limit,In the paper
GRB 120305A,0.023833333,0.51,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,0.800833333,0.3,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,1.850833333,0.51,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,2.860833333,0.33,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,3.960833333,0.36,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,4.880833333,0.33,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,5.950833333,0.66,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,6.830833333,0.51,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,7.920833333,0.45,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,9.940833333,0.42,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,10.95083333,0.3,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,13.93083333,0.42,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,16.74666667,0.36,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,21.88083333,0.51,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,26.88083333,0.3,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120305A,30.90083333,0.3,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120308A,0.024833333,0.24,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120308A,0.871666667,0.15,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120308A,4.900833333,0.39,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120308A,8.010833333,0.18,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120308A,10.98083333,0.24,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120308A,13.92083333,0.27,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120308A,16.91083333,0.27,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120308A,24.92083333,0.24,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120308A,33.86083333,0.21,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120311A,0.022833333,0.3,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120311A,24.98083333,0.27,0,Non-Detection,Unknown,2012,TRUE,FALSE
GRB 120311A,27.94083333,0.24,0,Non-Detection,Unknown,2012,TRUE,FALSE
